variable,dt,value
employed,2001-01-01,136181
employed,2001-02-01,136577
employed,2001-03-01,137155
employed,2001-04-01,137022
employed,2001-05-01,137121
employed,2001-06-01,137737
employed,2001-07-01,138239
employed,2001-08-01,136809
employed,2001-09-01,136835
employed,2001-10-01,136885
employed,2001-11-01,136370
employed,2001-12-01,136269
employed,2002-01-01,134177
employed,2002-02-01,135443
employed,2002-03-01,135558
employed,2002-04-01,135903
employed,2002-05-01,136559
employed,2002-06-01,137181
employed,2002-07-01,137495
employed,2002-08-01,137295
employed,2002-09-01,137377
employed,2002-10-01,137551
employed,2002-11-01,136684
employed,2002-12-01,136599
employed,2003-01-01,135907
employed,2003-02-01,136433
employed,2003-03-01,136783
employed,2003-04-01,137424
employed,2003-05-01,137567
employed,2003-06-01,138468
employed,2003-07-01,138503
employed,2003-08-01,138137
employed,2003-09-01,137731
employed,2003-10-01,138619
employed,2003-11-01,138700
employed,2003-12-01,138556
employed,2004-01-01,136924
employed,2004-02-01,137384
employed,2004-03-01,137691
employed,2004-04-01,138423
employed,2004-05-01,138867
employed,2004-06-01,139861
employed,2004-07-01,140700
employed,2004-08-01,140226
employed,2004-09-01,139641
employed,2004-10-01,140447
employed,2004-11-01,140581
employed,2004-12-01,140278
employed,2005-01-01,138682
employed,2005-02-01,139100
employed,2005-03-01,139759
employed,2005-04-01,140939
employed,2005-05-01,141591
employed,2005-06-01,142456
employed,2005-07-01,143283
employed,2005-08-01,143142
employed,2005-09-01,142579
employed,2005-10-01,143340
employed,2005-11-01,142968
employed,2005-12-01,142918
employed,2006-01-01,141481
employed,2006-02-01,141994
employed,2006-03-01,142772
employed,2006-04-01,143405
employed,2006-05-01,144041
employed,2006-06-01,145216
employed,2006-07-01,145606
employed,2006-08-01,145379
employed,2006-09-01,145010
employed,2006-10-01,146125
employed,2006-11-01,146014
employed,2006-12-01,146081
employed,2007-01-01,144275
employed,2007-02-01,144479
employed,2007-03-01,145323
employed,2007-04-01,145297
employed,2007-05-01,145864
employed,2007-06-01,146958
employed,2007-07-01,147315
employed,2007-08-01,146406
employed,2007-09-01,146448
employed,2007-10-01,146743
employed,2007-11-01,147118
employed,2007-12-01,146334
employed,2008-01-01,144607
employed,2008-02-01,144550
employed,2008-03-01,145108
employed,2008-04-01,145921
employed,2008-05-01,145927
employed,2008-06-01,146649
employed,2008-07-01,146867
employed,2008-08-01,145909
employed,2008-09-01,145310
employed,2008-10-01,145543
employed,2008-11-01,144609
employed,2008-12-01,143350
employed,2009-01-01,140436
employed,2009-02-01,140105
employed,2009-03-01,139833
employed,2009-04-01,140586
employed,2009-05-01,140363
employed,2009-06-01,140826
employed,2009-07-01,141055
employed,2009-08-01,140074
employed,2009-09-01,139079
employed,2009-10-01,139088
employed,2009-11-01,139132
employed,2009-12-01,137953
employed,2010-01-01,136809
employed,2010-02-01,137203
employed,2010-03-01,137983
employed,2010-04-01,139302
employed,2010-05-01,139497
employed,2010-06-01,139882
employed,2010-07-01,140134
employed,2010-08-01,139919
employed,2010-09-01,139715
employed,2010-10-01,139749
employed,2010-11-01,139415
employed,2010-12-01,139159
employed,2011-01-01,137599
employed,2011-02-01,138093
employed,2011-03-01,138962
employed,2011-04-01,139661
employed,2011-05-01,140028
employed,2011-06-01,140129
employed,2011-07-01,140384
employed,2011-08-01,140335
employed,2011-09-01,140502
employed,2011-10-01,140987
employed,2011-11-01,141070
employed,2011-12-01,140681
employed,2012-01-01,139944
employed,2012-02-01,140684
employed,2012-03-01,141412
employed,2012-04-01,141995
employed,2012-05-01,142727
employed,2012-06-01,143202
employed,2012-07-01,143126
employed,2012-08-01,142558
employed,2012-09-01,143333
employed,2012-10-01,144039
employed,2012-11-01,143549
employed,2012-12-01,143060
employed,2013-01-01,141614
employed,2013-02-01,142228
employed,2013-03-01,142698
employed,2013-04-01,143724
employed,2013-05-01,144432
employed,2013-06-01,144841
employed,2013-07-01,145113
employed,2013-08-01,144509
employed,2013-09-01,144651
employed,2013-10-01,144144
employed,2013-11-01,144775
employed,2013-12-01,144423
employed,2014-01-01,143526
employed,2014-02-01,144134
employed,2014-03-01,145090
employed,2014-04-01,145767
employed,2014-05-01,146398
employed,2014-06-01,147104
employed,2014-07-01,147265
employed,2014-08-01,146647
employed,2014-09-01,146941
employed,2014-10-01,147936
employed,2014-11-01,147666
employed,2014-12-01,147190
employed,2015-01-01,146552
employed,2015-02-01,147118
employed,2015-03-01,147635
employed,2015-04-01,148587
employed,2015-05-01,149349
employed,2015-06-01,149645
employed,2015-07-01,149722
employed,2015-08-01,149228
employed,2015-09-01,148980
employed,2015-10-01,149716
employed,2015-11-01,149766
employed,2015-12-01,149703
employed,2016-01-01,149037
employed,2016-02-01,150060
employed,2016-03-01,150738
employed,2016-04-01,151075
employed,2016-05-01,151594
employed,2016-06-01,151990
employed,2016-07-01,152437
employed,2016-08-01,151804
employed,2016-09-01,151977
employed,2016-10-01,152335
employed,2016-11-01,152385
employed,2016-12-01,151798
employed,2017-01-01,150527
employed,2017-02-01,151594
employed,2017-03-01,152628
employed,2017-04-01,153262
employed,2017-05-01,153407
employed,2017-06-01,154086
employed,2017-07-01,154470
employed,2017-08-01,153576
employed,2017-09-01,154494
employed,2017-10-01,154223
employed,2017-11-01,154180
employed,2017-12-01,153602
employed,2018-01-01,152848
employed,2018-02-01,154403
employed,2018-03-01,154877
employed,2018-04-01,155348
employed,2018-05-01,156009
employed,2018-06-01,156465
employed,2018-07-01,157004
employed,2018-08-01,155539
employed,2018-09-01,156191
employed,2018-10-01,156952
employed,2018-11-01,157015
employed,2018-12-01,156481
employed,2019-01-01,154964
employed,2019-02-01,156167
employed,2019-03-01,156441
employed,2019-04-01,156710
employed,2019-05-01,157152
employed,2019-06-01,157828
employed,2019-07-01,158385
employed,2019-08-01,157816
employed,2019-09-01,158478
employed,2019-10-01,159067
employed,2019-11-01,158945
employed,2019-12-01,158504
employed,2020-01-01,156994
employed,2020-02-01,158017
employed,2020-03-01,155167
employed,2020-04-01,133326
employed,2020-05-01,137461
employed,2020-06-01,142811
employed,2020-07-01,144492
employed,2020-08-01,147224
employed,2020-09-01,147796
unemployed,2001-01-01,6647
unemployed,2001-02-01,6523
unemployed,2001-03-01,6509
unemployed,2001-04-01,6004
unemployed,2001-05-01,5901
unemployed,2001-06-01,6816
unemployed,2001-07-01,6858
unemployed,2001-08-01,7017
unemployed,2001-09-01,6766
unemployed,2001-10-01,7175
unemployed,2001-11-01,7617
unemployed,2001-12-01,7773
unemployed,2002-01-01,9051
unemployed,2002-02-01,8823
unemployed,2002-03-01,8776
unemployed,2002-04-01,8255
unemployed,2002-05-01,7969
unemployed,2002-06-01,8758
unemployed,2002-07-01,8693
unemployed,2002-08-01,8271
unemployed,2002-09-01,7790
unemployed,2002-10-01,7769
unemployed,2002-11-01,8170
unemployed,2002-12-01,8209
unemployed,2003-01-01,9395
unemployed,2003-02-01,9260
unemployed,2003-03-01,9018
unemployed,2003-04-01,8501
unemployed,2003-05-01,8500
unemployed,2003-06-01,9649
unemployed,2003-07-01,9319
unemployed,2003-08-01,8830
unemployed,2003-09-01,8436
unemployed,2003-10-01,8169
unemployed,2003-11-01,8269
unemployed,2003-12-01,7945
unemployed,2004-01-01,9144
unemployed,2004-02-01,8770
unemployed,2004-03-01,8834
unemployed,2004-04-01,7837
unemployed,2004-05-01,7792
unemployed,2004-06-01,8616
unemployed,2004-07-01,8518
unemployed,2004-08-01,7940
unemployed,2004-09-01,7545
unemployed,2004-10-01,7531
unemployed,2004-11-01,7665
unemployed,2004-12-01,7599
unemployed,2005-01-01,8444
unemployed,2005-02-01,8549
unemployed,2005-03-01,7986
unemployed,2005-04-01,7335
unemployed,2005-05-01,7287
unemployed,2005-06-01,7870
unemployed,2005-07-01,7839
unemployed,2005-08-01,7327
unemployed,2005-09-01,7259
unemployed,2005-10-01,6964
unemployed,2005-11-01,7271
unemployed,2005-12-01,6956
unemployed,2006-01-01,7608
unemployed,2006-02-01,7692
unemployed,2006-03-01,7255
unemployed,2006-04-01,6804
unemployed,2006-05-01,6655
unemployed,2006-06-01,7341
unemployed,2006-07-01,7602
unemployed,2006-08-01,7086
unemployed,2006-09-01,6625
unemployed,2006-10-01,6272
unemployed,2006-11-01,6576
unemployed,2006-12-01,6491
unemployed,2007-01-01,7649
unemployed,2007-02-01,7400
unemployed,2007-03-01,6913
unemployed,2007-04-01,6532
unemployed,2007-05-01,6486
unemployed,2007-06-01,7295
unemployed,2007-07-01,7556
unemployed,2007-08-01,7088
unemployed,2007-09-01,6952
unemployed,2007-10-01,6773
unemployed,2007-11-01,6917
unemployed,2007-12-01,7371
unemployed,2008-01-01,8221
